n_digits,base,unique_attractors,dominant_frequency,samples,most_common_attractor
78,4,20,0.05,20,3333333333...
80,4,20,0.05,20,3333333333...
63,4,19,0.1,20,3333333333...
77,4,19,0.1,20,3333333333...
89,4,19,0.1,20,3333333333...
90,4,19,0.1,20,3333333333...
91,4,19,0.1,20,3333333333...
92,4,19,0.1,20,3333333333...
93,4,19,0.1,20,3333333333...
40,4,18,0.15,20,3333333333...
41,4,18,0.1,20,3333333222...
60,4,18,0.1,20,3333333333...
64,4,18,0.1,20,3333333333...
66,4,18,0.1,20,3333333333...
68,4,18,0.1,20,3333333333...
70,4,18,0.1,20,3333333333...
79,4,18,0.1,20,3333333333...
83,4,18,0.1,20,3333333333...
85,4,18,0.1,20,3333333333...
86,4,18,0.1,20,3333333333...
