n_digits,base,unique_attractors,dominant_frequency,samples,most_common_attractor,state
2,2,1,1,20,1,Constant
2,3,1,1,20,0,Constant
2,7,1,1,20,0,Constant
2,15,1,1,20,0,Constant
2,31,1,1,20,0,Constant
2,63,1,1,20,"[0,0]",Constant
3,2,1,1,20,11,Constant
3,4,1,1,20,132,Constant
3,6,1,1,20,253,Constant
3,8,1,1,20,374,Constant
3,10,1,1,20,495,Constant
3,12,1,1,20,5B6,Constant
3,14,1,1,20,6D7,Constant
3,16,1,1,20,7F8,Constant
3,18,1,1,20,8H9,Constant
3,20,1,1,20,9JA,Constant
3,22,1,1,20,ALB,Constant
3,24,1,1,20,BNC,Constant
3,26,1,1,20,CPD,Constant
3,28,1,1,20,DRE,Constant
3,30,1,1,20,ETF,Constant
3,32,1,1,20,FVG,Constant
3,34,1,1,20,GXH,Constant
3,36,1,1,20,HZI,Constant
3,38,1,1,20,"[18,37,19]",Constant
3,40,1,1,20,"[19,39,20]",Constant
3,42,1,1,20,"[20,41,21]",Constant
3,46,1,1,20,"[22,45,23]",Constant
3,44,1,1,20,"[21,43,22]",Constant
3,48,1,1,20,"[23,47,24]",Constant
3,50,1,1,20,"[24,49,25]",Constant
3,52,1,1,20,"[25,51,26]",Constant
3,54,1,1,20,"[26,53,27]",Constant
3,56,1,1,20,"[27,55,28]",Constant
3,58,1,1,20,"[28,57,29]",Constant
3,60,1,1,20,"[29,59,30]",Constant
3,62,1,1,20,"[30,61,31]",Constant
3,64,1,1,20,"[31,63,32]",Constant
3,66,1,1,20,"[32,65,33]",Constant
3,68,1,1,20,"[33,67,34]",Constant
3,70,1,1,20,"[34,69,35]",Constant
3,74,1,1,20,"[36,73,37]",Constant
3,72,1,1,20,"[35,71,36]",Constant
3,76,1,1,20,"[37,75,38]",Constant
3,78,1,1,20,"[38,77,39]",Constant
3,80,1,1,20,"[39,79,40]",Constant
3,82,1,1,20,"[40,81,41]",Constant
3,84,1,1,20,"[41,83,42]",Constant
3,86,1,1,20,"[42,85,43]",Constant
3,88,1,1,20,"[43,87,44]",Constant
3,90,1,1,20,"[44,89,45]",Constant
3,92,1,1,20,"[45,91,46]",Constant
3,94,1,1,20,"[46,93,47]",Constant
3,96,1,1,20,"[47,95,48]",Constant
3,98,1,1,20,"[48,97,49]",Constant
3,100,1,1,20,"[49,99,50]",Constant
4,5,1,1,20,3032,Constant
4,10,1,1,20,6174,Constant
4,40,1,1,20,"[24,7,31,16]",Constant
5,3,1,1,20,20211,Constant
5,12,1,1,20,83B74,Constant
5,15,1,1,20,A4E95,Constant
5,18,1,1,20,C5HB6,Constant
5,21,1,1,20,E6KD7,Constant
5,24,1,1,20,G7NF8,Constant
5,27,1,1,20,I8QH9,Constant
5,30,1,1,20,K9TJA,Constant
5,33,1,1,20,MAWLB,Constant
5,36,1,1,20,OBZNC,Constant
5,39,1,1,20,"[26,12,38,25,13]",Constant
5,42,1,1,20,"[28,13,41,27,14]",Constant
5,45,1,1,20,"[30,14,44,29,15]",Constant
5,48,1,1,20,"[32,15,47,31,16]",Constant
5,51,1,1,20,"[34,16,50,33,17]",Constant
5,54,1,1,20,"[36,17,53,35,18]",Constant
5,57,1,1,20,"[38,18,56,37,19]",Constant
5,60,1,1,20,"[40,19,59,39,20]",Constant
5,63,1,1,20,"[42,20,62,41,21]",Constant
5,66,1,1,20,"[44,21,65,43,22]",Constant
5,69,1,1,20,"[46,22,68,45,23]",Constant
5,72,1,1,20,"[48,23,71,47,24]",Constant
5,75,1,1,20,"[50,24,74,49,25]",Constant
5,78,1,1,20,"[52,25,77,51,26]",Constant
5,81,1,1,20,"[54,26,80,53,27]",Constant
5,84,1,1,20,"[56,27,83,55,28]",Constant
5,87,1,1,20,"[58,28,86,57,29]",Constant
5,90,1,1,20,"[60,29,89,59,30]",Constant
5,93,1,1,20,"[62,30,92,61,31]",Constant
5,96,1,1,20,"[64,31,95,63,32]",Constant
5,99,1,1,20,"[66,32,98,65,33]",Constant
6,13,1,1,20,951A74,Constant
6,17,1,1,20,D91E74,Constant
7,4,1,1,20,3203211,Constant
8,3,1,1,20,21022111,Constant
9,5,1,1,20,432043211,Constant
10,90,1,1,20,Timeout,Constant
11,7,1,1,20,6543065321...,Constant
12,78,1,1,20,Timeout,Constant
12,94,1,1,20,Timeout,Constant
12,96,1,1,20,Timeout,Constant
12,100,1,1,20,Timeout,Constant
14,68,1,1,20,Timeout,Constant
14,70,1,1,20,Timeout,Constant
14,80,1,1,20,Timeout,Constant
14,84,1,1,20,Timeout,Constant
14,88,1,1,20,Timeout,Constant
14,92,1,1,20,Timeout,Constant
14,94,1,1,20,Timeout,Constant
14,96,1,1,20,Timeout,Constant
14,98,1,1,20,Timeout,Constant
15,17,1,1,20,FDB8651GEB...,Constant
14,100,1,1,20,Timeout,Constant
15,49,1,1,20,"[43,37,31,24,18,13,5,48,42,35,...]",Constant
16,56,1,1,20,Timeout,Constant
16,62,1,1,20,Timeout,Constant
16,68,1,1,20,Timeout,Constant
16,72,1,1,20,Timeout,Constant
16,80,1,1,20,Timeout,Constant
16,82,1,1,20,Timeout,Constant
16,84,1,1,20,Timeout,Constant
16,88,1,1,20,Timeout,Constant
16,94,1,1,20,Timeout,Constant
16,96,1,1,20,Timeout,Constant
16,98,1,1,20,Timeout,Constant
16,99,1,1,20,Timeout,Constant
16,100,1,1,20,Timeout,Constant
18,54,1,1,20,Timeout,Constant
18,56,1,1,20,Timeout,Constant
18,68,1,1,20,Timeout,Constant
18,72,1,1,20,Timeout,Constant
18,76,1,1,20,Timeout,Constant
18,78,1,1,20,Timeout,Constant
18,80,1,1,20,Timeout,Constant
18,82,1,1,20,Timeout,Constant
18,84,1,1,20,Timeout,Constant
18,88,1,1,20,Timeout,Constant
18,92,1,1,20,Timeout,Constant
18,94,1,1,20,Timeout,Constant
18,95,1,1,20,Timeout,Constant
18,96,1,1,20,Timeout,Constant
18,98,1,1,20,Timeout,Constant
18,99,1,1,20,Timeout,Constant
20,54,1,1,20,Timeout,Constant
20,60,1,1,20,Timeout,Constant
20,62,1,1,20,Timeout,Constant
20,68,1,1,20,Timeout,Constant
20,70,1,1,20,Timeout,Constant
20,72,1,1,20,Timeout,Constant
20,76,1,1,20,Timeout,Constant
20,78,1,1,20,Timeout,Constant
20,80,1,1,20,Timeout,Constant
20,82,1,1,20,Timeout,Constant
20,84,1,1,20,Timeout,Constant
20,92,1,1,20,Timeout,Constant
20,94,1,1,20,Timeout,Constant
20,95,1,1,20,Timeout,Constant
20,96,1,1,20,Timeout,Constant
20,98,1,1,20,Timeout,Constant
20,99,1,1,20,Timeout,Constant
20,100,1,1,20,Timeout,Constant
22,54,1,1,20,Timeout,Constant
22,60,1,1,20,Timeout,Constant
22,62,1,1,20,Timeout,Constant
22,68,1,1,20,Timeout,Constant
22,70,1,1,20,Timeout,Constant
22,72,1,1,20,Timeout,Constant
22,76,1,1,20,Timeout,Constant
22,78,1,1,20,Timeout,Constant
22,80,1,1,20,Timeout,Constant
22,82,1,1,20,Timeout,Constant
22,84,1,1,20,Timeout,Constant
22,88,1,1,20,Timeout,Constant
22,92,1,1,20,Timeout,Constant
22,94,1,1,20,Timeout,Constant
22,95,1,1,20,Timeout,Constant
22,96,1,1,20,Timeout,Constant
