Digits,Base,Unique Attractors,Unique Ratio,Dominant,Dominant Freq,Kaprekar Constant?
1,2,1,1.00,0,1.00,NO
1,3,1,1.00,0,1.00,NO
1,4,1,1.00,0,1.00,NO
1,5,1,1.00,0,1.00,NO
1,6,1,1.00,0,1.00,NO
1,7,1,1.00,0,1.00,NO
1,8,1,1.00,0,1.00,NO
1,9,1,1.00,0,1.00,NO
1,10,1,1.00,0,1.00,NO
1,11,1,1.00,0,1.00,NO
1,12,1,1.00,0,1.00,NO
1,13,1,1.00,0,1.00,NO
1,14,1,1.00,0,1.00,NO
1,15,1,1.00,0,1.00,NO
1,16,1,1.00,0,1.00,NO
1,17,1,1.00,0,1.00,NO
1,18,1,1.00,0,1.00,NO
1,19,1,1.00,0,1.00,NO
1,20,1,1.00,0,1.00,NO
1,21,1,1.00,0,1.00,NO
1,22,1,1.00,0,1.00,NO
1,23,1,1.00,0,1.00,NO
1,24,1,1.00,0,1.00,NO
1,25,1,1.00,0,1.00,NO
1,26,1,1.00,0,1.00,NO
1,27,1,1.00,0,1.00,NO
1,28,1,1.00,0,1.00,NO
1,29,1,1.00,0,1.00,NO
1,30,1,1.00,0,1.00,NO
2,2,1,0.01,01 → 01,1.00,YES
2,3,1,0.01,00 → 00,1.00,YES
2,4,2,0.02,03 → 21 → 03,0.78,NO
2,5,2,0.02,13 → 13,0.86,NO
2,6,3,0.03,23 → 05 → 41 → 23,0.50,NO
2,7,1,0.01,00 → 00,1.00,YES
2,8,4,0.04,43 → 07 → 61 → 43,0.35,NO
2,9,3,0.03,17 → 53 → 17,0.59,NO
2,10,5,0.05,27 → 45 → 09 → 81 → ...,0.35,NO
2,11,2,0.02,37 → 37,0.74,NO
2,12,6,0.06,0B → A1 → 83 → 47 → ...,0.31,NO
2,13,4,0.04,1B → 93 → 57 → 1B,0.39,NO
2,14,7,0.07,2B → 85 → 2B,0.27,NO
2,15,1,0.01,00 → 00,1.00,YES
2,16,7,0.07,4B → 69 → 2D → A5 → ...,0.19,NO
2,17,5,0.05,1F → D3 → 97 → 1F,0.39,NO
2,18,8,0.08,6B → 4D → 89 → 0H → ...,0.18,NO
2,19,3,0.03,3F → B7 → 3F,0.55,NO
2,20,10,0.10,8B → 2H → E5 → 8B,0.18,NO
2,21,6,0.06,5F → 9B → 1J → H3 → ...,0.27,NO
2,22,11,0.11,2J → G5 → AB → 0L → ...,0.19,NO
2,23,2,0.02,7F → 7F,0.69,NO
